,id,nome,posição,idade,data_nascimento,nacionalidade,time,liga,total_chutes,chutes_no_gol,gols,gols_sofridos,assistências,defesas,total_passes,passes_chaves,%passes_certos,desarmes,dribles_tentados,dribles_realizados,faltas_sofridas,faltas_cometidas,total_jogos,minutos_jogados,jogos_escalados
474,80685,Cristhyan,Midfielder,20,21/05/2000,Brazil,Atletico Goianiense,Serie A,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
475,208789,Eduardo,Midfielder,19,10/01/2001,Brazil,Atletico Goianiense,Serie A,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
476,9323,Ricardo,Midfielder,19,30/11/2001,Brazil,Atletico Goianiense,Serie A,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
477,9696,Edson Felipe da Cruz,Defender,29,01/07/1991,Brazil,Atletico Goianiense,Serie A,11.0,4.0,1,0.0,1.0,0.0,518.0,6.0,52.0,32.0,9.0,9.0,34.0,30.0,14,1260,14
478,9724,Júlio César Czarnerski,Attacker,26,12/08/1994,Brazil,Atletico Goianiense,Serie A,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
479,2404,Henry Vaca Urquisa,Midfielder,22,27/01/1998,Bolivia,Atletico Goianiense,Serie A,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,0,0
480,237703,Luiz Henrique dos Santos Júnior,Defender,22,17/01/1998,Brazil,Atletico Goianiense,Serie A,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
484,9306,Lucas Pereira Ribeiro de Souza,Goalkeeper,22,21/06/1998,Brazil,Atletico Goianiense,Serie A,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
487,197350,Gabriel Bernard,Goalkeeper,20,08/08/2000,Brazil,Atletico Goianiense,Serie A,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
488,9942,Jean,Goalkeeper,25,26/10/1995,Brazil,Atletico Goianiense,Serie A,2.0,2.0,1,22.0,0.0,55.0,657.0,0.0,38.0,1.0,1.0,0.0,7.0,1.0,20,1800,20
489,9304,Kozlinski,Goalkeeper,29,18/06/1991,Brazil,Atletico Goianiense,Serie A,0.0,0.0,0,3.0,0.0,6.0,39.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,1,90,1
490,195453,Leonardo,Goalkeeper,23,23/02/1997,Brazil,Atletico Goianiense,Serie A,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
491,197351,Danilo Alves,Defender,19,04/08/2001,Brazil,Atletico Goianiense,Serie A,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
493,153598,Michel Custódio,Defender,19,06/01/2001,Brazil,Atletico Goianiense,Serie A,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
494,9308,Oliveira,Defender,24,02/02/1996,Brazil,Atletico Goianiense,Serie A,2.0,2.0,2,0.0,0.0,0.0,256.0,2.0,28.0,3.0,3.0,3.0,7.0,8.0,10,579,6
495,10225,João Victor,Defender,22,17/07/1998,Brazil,Atletico Goianiense,Serie A,1.0,0.0,0,0.0,1.0,0.0,564.0,4.0,42.0,16.0,12.0,8.0,10.0,12.0,14,1131,13
497,238532,Odair Marciano,Defender,18,20/03/2002,Brazil,Atletico Goianiense,Serie A,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
498,10118,Eder,Defender,25,05/04/1995,Brazil,Atletico Goianiense,Serie A,4.0,1.0,0,0.0,0.0,0.0,741.0,4.0,50.0,10.0,3.0,3.0,11.0,20.0,18,1607,18
499,10381,Dudu,Defender,23,30/05/1997,Brazil,Atletico Goianiense,Serie A,7.0,2.0,0,0.0,0.0,0.0,550.0,14.0,35.0,40.0,19.0,9.0,21.0,23.0,20,1547,18
500,9314,Luan,Defender,19,23/05/2001,Brazil,Atletico Goianiense,Serie A,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
501,9315,Gilvan,Defender,31,10/11/1989,Brazil,Atletico Goianiense,Serie A,4.0,3.0,1,0.0,0.0,0.0,336.0,0.0,42.0,10.0,2.0,1.0,6.0,20.0,13,880,10
502,9316,Nicolas Vichiatto,Defender,23,24/02/1997,Brazil,Atletico Goianiense,Serie A,17.0,5.0,0,0.0,3.0,0.0,585.0,24.0,37.0,19.0,16.0,8.0,10.0,19.0,19,1566,18
503,9460,Baralhas,Midfielder,22,10/10/1998,Brazil,Atletico Goianiense,Serie A,1.0,0.0,0,0.0,0.0,0.0,34.0,0.0,29.0,4.0,0.0,0.0,0.0,1.0,1,60,1
504,9317,Matheuzinho,Midfielder,27,21/02/1993,Brazil,Atletico Goianiense,Serie A,15.0,6.0,1,0.0,1.0,0.0,135.0,12.0,16.0,10.0,13.0,8.0,10.0,6.0,17,481,3
505,9961,Everton Felipe,Midfielder,23,28/07/1997,Brazil,Atletico Goianiense,Serie A,8.0,4.0,0,0.0,1.0,0.0,165.0,6.0,29.0,6.0,24.0,16.0,17.0,4.0,13,573,5
506,10066,Gustavo Ferrareis,Midfielder,24,02/01/1996,Brazil,Atletico Goianiense,Serie A,21.0,7.0,2,0.0,2.0,0.0,403.0,21.0,31.0,11.0,29.0,15.0,43.0,31.0,19,1287,18
507,10568,Willian Maranhão,Midfielder,25,14/12/1995,Brazil,Atletico Goianiense,Serie A,5.0,1.0,0,0.0,0.0,0.0,133.0,2.0,28.0,3.0,2.0,1.0,5.0,9.0,9,462,6
