,id,nome,posição,idade,data_nascimento,nacionalidade,time,liga,total_chutes,chutes_no_gol,gols,gols_sofridos,assistências,defesas,total_passes,passes_chaves,%passes_certos,desarmes,dribles_tentados,dribles_realizados,faltas_sofridas,faltas_cometidas,total_jogos,minutos_jogados,jogos_escalados
0,156941,Weverton Almeida,Defender,20,30/06/1999,Brazil,Atletico Paranaense,Serie A,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1,67199,Gabriel Fornari,Defender,19,03/03/2001,Brazil,Atletico Paranaense,Serie A,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2,10150,M. Ruben,Attacker,34,26/10/1986,Argentina,Atletico Paranaense,Serie A,21.0,9.0,4,0.0,1.0,0.0,72.0,5.0,67.0,7.0,7.0,2.0,7.0,19.0,23,1677,19
3,133186,Vinicius Alessandro,Attacker,20,07/01/2000,Brazil,Atletico Paranaense,Serie A,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
4,10113,Caio,Goalkeeper,23,26/01/1997,Brazil,Atletico Paranaense,Serie A,0.0,0.0,0,4.0,0.0,3.0,26.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,3,270,3
5,10115,Robson Bambu,Defender,23,12/11/1997,Brazil,Atletico Paranaense,Serie A,2.0,0.0,0,0.0,0.0,0.0,144.0,1.0,63.0,1.0,3.0,3.0,2.0,6.0,8,599,7
6,1977,Adriano,Defender,36,26/10/1984,Brazil,Atletico Paranaense,Serie A,1.0,0.0,1,0.0,1.0,0.0,116.0,3.0,76.0,7.0,4.0,3.0,3.0,6.0,11,608,7
7,10138,Matheus Rossetto,Midfielder,24,03/06/1996,Brazil,Atletico Paranaense,Serie A,3.0,0.0,0,0.0,0.0,0.0,227.0,4.0,88.0,2.0,3.0,3.0,1.0,6.0,7,549,6
8,10126,Abner Felipe Souza de Almeida,Defender,24,30/05/1996,Brazil,Atletico Paranaense,Serie A,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,50.0,1.0,0.0,0.0,2.0,0.0,4,217,2
9,10109,Léo,Goalkeeper,30,22/09/1990,Brazil,Atletico Paranaense,Serie A,0.0,0.0,0,4.0,0.0,12.0,49.0,0.0,61.0,0.0,0.0,0.0,1.0,0.0,7,630,7
10,10142,Marcelo Cirino,Attacker,28,22/01/1992,Brazil,Atletico Paranaense,Serie A,19.0,8.0,9,0.0,0.0,0.0,116.0,3.0,62.0,7.0,10.0,5.0,11.0,8.0,30,1875,19
11,10117,Mádson,Defender,28,13/01/1992,Brazil,Atletico Paranaense,Serie A,4.0,3.0,5,0.0,1.0,0.0,346.0,12.0,71.0,10.0,12.0,6.0,14.0,9.0,27,2339,26
12,10149,B. Romero,Attacker,29,15/06/1991,Argentina,Atletico Paranaense,Serie A,11.0,2.0,2,0.0,1.0,0.0,98.0,7.0,67.0,8.0,8.0,6.0,9.0,12.0,16,916,10
13,10127,T. Andrade,Midfielder,24,16/11/1996,Argentina,Atletico Paranaense,Serie A,9.0,4.0,0,0.0,1.0,0.0,123.0,11.0,79.0,2.0,12.0,5.0,3.0,7.0,12,478,5
