ID,Jogador,Time,Idade,Jogos,Minutos,Roubadas_de_bola,Desarmes,Faltas_cometidas,Dribles_sofridos,Gols,Assistências,Chutes,Passes_chaves,Dribles_realizados,Faltas_sofridas,Impedimentos,Perdas_de_bola,Nota
0,Marinho,Santos FC,30,20(3),1793,1.1,0.5,1.4,1,15,6,3.3,1.1,1.6,4.7,0.8,1.7,7.58
1,Keno,Atletico MG,31,25(3),2211,1.2,0.6,1.2,0.9,10,6,3.1,1.8,3.3,2,0.9,1,7.49
2,Giorgian de Arrascaeta,Flamengo,26,17(2),1465,1.3,0.2,0.7,1,6,5,2.4,2.8,1.5,1.5,0,1.5,7.44
3,Claudinho,Red Bull Bragantino,23,25(2),2148,1.1,1.1,1,1.7,13,3,2.8,3,1.7,1.6,0.1,1.3,7.41
4,Luciano,Sao Paulo,27,21(2),1809,1,0.5,1.1,0.8,12,3,2,1.4,1,1.8,0.3,0.9,7.26
5,Diego Souza,Gremio,35,19,1488,0.5,0.2,1.2,0.2,9,2,2.3,1.1,0.6,1,0.1,0.7,7.24
6,Patrick,Internacional,28,25(1),2039,2.2,0.7,1.2,1.8,4,3,1.2,0.7,2.6,2.2,0,2.4,7.22
7,Bruno Henrique,Flamengo,30,22(1),1888,0.9,0.5,1.5,0.3,6,6,2.7,1.3,1.3,2.5,0.3,1.4,7.22
8,Vinicius,Ceara,29,22(1),1893,0.3,0.4,0.7,0.5,9,6,2.9,2.3,0.7,0.9,0.2,0.7,7.20
9,Alisson,Gremio,27,17,1412,0.6,0.5,0.9,0.9,1,4,2.5,1.8,1.9,2.8,0.3,0.9,7.18
10,Pepê,Gremio,23,21(4),1932,0.4,0.8,0.4,0.6,8,4,1.8,1.4,2.5,2.2,0.2,1.2,7.18
11,Everton Ribeiro,Flamengo,31,22(2),1869,1.3,1,1,1.5,6,3,1.5,1.5,2,2.1,0,1.7,7.17
12,Filipe Luís,Flamengo,35,22,1926,2.3,1.6,1.5,0.7,2,2,0.4,1.3,1.4,1.2,0,0.4,7.15
13,Jean Pyerre,Gremio,22,10(2),855,0.9,0.4,0.5,0.8,2,1,2.5,2.8,1.4,0.9,0,1,7.15
14,Gerson,Flamengo,23,24(1),2047,1.6,0.6,2.2,0.9,1,2,1.4,1,3,3.6,0.2,1.6,7.13
15,Jefferson Savarino,Atletico MG,24,19(4),1685,0.4,0.1,0.8,0.8,5,6,2,2,1.8,1.1,0.3,1.1,7.12
16,Guilherme Arana,Atletico MG,23,26(2),2416,1.3,1.2,1.3,0.6,3,4,2.1,2,0.9,1,0,0.9,7.11
17,Raphael Veiga,Palmeiras,25,16(5),1281,0.5,0.7,1,0.6,11,1,2,1.3,0.8,1.3,0,1,7.10
18,Edson,Atletico GO,29,14,1260,2.3,2.1,2,1.4,1,1,0.7,0.3,0.7,2.4,0,0.6,7.09
19,Reinaldo,Sao Paulo,31,27(1),2455,1.1,1.1,1.3,0.5,5,5,1.1,2,0.6,1,0,0.5,7.09
20,Pedro Henrique,Athletico Paranaense,25,22,1939,1.4,1.3,0.6,0.5,0,0,0.2,0.2,0.2,0.7,0,0.1,7.08
21,Giovanni Augusto,Coritiba,31,15(5),1278,1.3,0.3,0.9,1.1,4,5,1.2,2.1,1.4,2.4,0.1,1.2,7.08
22,Lucas Verissimo,Santos FC,25,15,1286,1.4,2,1.4,0.3,1,1,0.8,0.4,0.5,0.5,0.1,0.1,7.07
23,Dani Alves,Sao Paulo,37,23,2059,1.4,0.5,2.1,1,1,2,1.5,2.3,1.2,2,0.3,1.1,7.07
24,Diego,Sao Paulo,21,17,1417,1.7,1.6,1.9,0.5,1,0,0.5,0.2,0.6,0.8,0,0.1,7.07
25,Raúl,Red Bull Bragantino,24,21(1),1935,2.7,1.7,1.7,2,2,3,0.5,0.9,0.9,2.4,0,0.8,7.06
26,Danilo Barcelos,Fluminense,29,16,1440,2,1.3,2.8,0.4,1,2,0.6,2.1,0.5,0.6,0.1,0.5,7.06
27,Thiago Galhardo,Internacional,31,20(6),1805,0.5,0.2,0.9,0.8,16,5,2.5,0.7,0.5,1.5,0.7,0.8,7.04
28,Moisés,Internacional,25,17(2),1549,2,1.1,2.2,0.5,0,3,0.5,0.9,0.8,0.4,0.1,0.4,7.04
29,Artur,Red Bull Bragantino,22,26,2194,1.2,0.6,0.8,0.9,1,4,2.2,1.9,2.1,2,0.2,1.1,7.03
30,Leo Chú,Ceara,20,13(1),971,1.8,0.7,1,0.9,2,5,1,1.1,2.1,1.1,0.4,0.9,7.02
31,Gabriel Menino,Palmeiras,20,21(2),1707,1.2,1.1,1.4,0.9,0,5,1.3,1.5,1.3,2,0.2,1,7.02
32,Robert Arboleda,Sao Paulo,29,12(2),1093,1,1.4,1.2,0.3,1,0,0.9,0.1,0.3,0.8,0,0.2,7.00
33,Tiago,Ceara,30,22,1941,1.3,1.6,0.9,0.7,1,0,0.7,0.2,0.1,0.8,0.1,0,7.00
