carat,cut,color,clarity,depth,table,x,y,z,cut_num,color_num,clarity_num,price_predicted
0.91,Very Good,H,SI2,63.4,57.0,6.1,6.18,3.89,3,3,2,3097.2488829681606
0.38,Good,F,VS2,60.3,61.0,4.68,4.71,2.83,2,5,4,316.79494541082113
0.52,Ideal,H,VS2,61.8,56.0,5.19,5.16,3.2,5,3,4,1081.1193074823532
1.1,Ideal,G,VS1,61.3,56.0,6.65,6.69,4.09,5,4,5,6924.41997989347
2.28,Ideal,G,SI2,61.6,57.0,8.44,8.37,5.18,5,4,2,16624.713454540542
2.01,Very Good,J,VS2,60.8,58.0,8.08,8.16,4.94,3,1,4,13837.692626136539
1.06,Ideal,G,SI2,62.2,57.0,6.51,6.49,4.04,5,4,2,5017.884044203959
0.7,Premium,E,SI1,60.1,58.0,5.81,5.83,3.5,4,6,3,2914.1704201284556
0.73,Premium,I,VS2,59.7,59.0,5.94,5.81,3.51,4,2,4,2328.8592435435703
0.73,Ideal,H,IF,61.6,55.0,5.8,5.82,3.58,5,3,8,4843.657660821181
1.0,Good,D,VS2,64.1,58.0,6.24,6.33,4.03,2,7,4,6036.214479417744
0.33,Ideal,G,VVS2,60.1,57.0,4.48,4.51,2.7,5,4,6,1112.620116918069
0.54,Ideal,J,VVS2,61.6,57.0,5.25,5.23,3.23,5,1,6,1584.312240974497
0.33,Ideal,D,VS2,61.9,53.0,4.49,4.46,2.77,5,7,4,1027.3715103094705
0.51,Fair,D,VS2,64.4,54.0,5.06,5.03,3.25,1,7,4,1741.1134997502681
0.51,Ideal,E,SI1,62.4,55.0,5.09,5.14,3.19,5,6,3,1515.8994793684205
0.3,Good,I,SI1,63.2,55.0,4.25,4.29,2.7,2,2,3,-1709.910207081335
2.66,Good,H,SI2,64.3,60.0,8.71,8.65,5.58,2,3,2,19538.997466329813
0.92,Premium,F,SI1,61.8,59.0,6.21,6.25,3.85,4,5,3,4452.404136102725
0.3,Ideal,G,IF,62.2,55.0,4.3,4.32,2.68,5,4,8,1825.4079459899178
1.0,Very Good,H,SI1,62.0,54.0,6.43,6.47,4.0,3,3,3,4468.01326025265
0.34,Very Good,F,VS1,61.1,57.0,4.51,4.54,2.76,3,5,5,694.8786296990002
1.01,Very Good,F,SI2,62.4,58.0,6.37,6.41,3.99,3,5,2,4643.848695187016
0.87,Ideal,F,VS1,62.0,55.0,6.1,6.13,3.79,5,5,5,5212.4577356843465
1.26,Premium,D,SI2,61.9,58.0,6.88,6.81,4.24,4,7,2,7710.4541945224955
0.38,Premium,E,VS1,60.2,58.0,4.66,4.71,2.82,4,6,5,1484.8519794895265
0.55,Ideal,F,VVS2,62.3,54.0,5.29,5.27,3.29,5,5,6,2969.159797266195
0.65,Premium,G,SI1,61.9,58.0,5.54,5.51,3.42,4,4,3,1819.282020340078
0.41,Premium,D,VVS2,62.2,58.0,4.8,4.78,2.98,4,7,6,2330.5506474279728
0.7,Very Good,I,I1,63.2,59.0,5.62,5.59,3.54,3,2,1,390.2515707451389
1.03,Very Good,I,VS1,62.9,53.0,6.45,6.5,4.07,3,2,5,5400.243897642584
0.34,Ideal,F,VVS2,61.3,56.0,4.52,4.56,2.78,5,5,6,1432.3495077290413
0.73,Ideal,I,VVS1,61.7,53.0,5.8,5.84,3.59,5,2,7,4066.115830861818
0.83,Ideal,D,SI2,62.1,56.0,6.0,6.04,3.74,5,7,2,3985.471458612522
0.51,Very Good,G,SI1,63.0,53.0,5.1,5.13,3.22,3,4,3,620.6617098045845
1.06,Ideal,E,VS2,61.3,57.0,6.54,6.57,4.02,5,6,4,6712.267644442182
0.41,Ideal,D,VS1,61.8,57.0,4.75,4.8,2.95,5,7,5,2061.485514277738
1.03,Ideal,F,VS2,60.4,56.0,6.59,6.56,3.97,5,5,4,6115.1794638808415
0.32,Ideal,D,SI1,61.3,55.0,4.41,4.46,2.72,5,7,3,495.51080659074205
0.3,Premium,J,VS1,62.6,58.0,4.32,4.27,2.69,4,1,5,-893.8695777244575
0.32,Very Good,D,VVS2,60.1,58.0,4.41,4.44,2.66,3,7,6,1774.5214480108434
0.33,Ideal,G,VS1,61.7,56.0,4.44,4.47,2.75,5,4,5,542.1443490508836
0.25,Ideal,G,VS1,62.7,54.0,4.05,4.08,2.55,5,4,5,3.5324498751128885
0.3,Ideal,F,VS1,61.0,56.0,4.37,4.35,2.66,5,5,5,661.5934202409271
1.26,Very Good,F,IF,60.0,60.0,7.04,7.09,4.24,3,5,8,9898.151390652163
1.14,Ideal,J,VS1,61.6,56.0,6.71,6.73,4.14,5,1,5,6309.18392993795
1.51,Premium,H,SI1,62.8,60.0,7.22,7.14,4.51,4,3,3,9204.059437747057
0.51,Very Good,E,SI2,62.0,57.0,5.09,5.13,3.17,3,6,2,759.3845432492385
0.32,Ideal,G,IF,61.0,57.0,4.44,4.48,2.72,5,4,8,1961.373771997061
0.94,Premium,E,SI2,60.4,59.0,6.37,6.34,3.84,4,6,2,4464.462707139606
0.51,Premium,E,VS2,60.6,58.0,5.15,5.12,3.11,4,6,4,1911.275227756834
1.12,Ideal,H,SI2,61.4,56.0,6.69,6.66,4.1,5,3,2,5276.72028272993
1.33,Premium,G,SI2,60.3,58.0,7.19,7.16,4.33,4,4,2,7353.560199540594
0.32,Premium,H,VS2,61.7,59.0,4.35,4.4,2.7,4,3,4,-501.78705434135054
0.7,Ideal,E,VS2,62.6,57.0,5.63,5.68,3.54,5,6,4,3515.344598252152
