,carat,cut,color,clarity,depth,table,x,y,z,price_predicted,price_predict
0,0.91,Very Good,H,SI2,63.4,57.0,6.1,6.18,3.89,4804.544887532737,4795.819854252423
1,0.38,Good,F,VS2,60.3,61.0,4.68,4.71,2.83,692.5452333905187,673.7653039811094
2,0.52,Ideal,H,VS2,61.8,56.0,5.19,5.16,3.2,1778.7338212771424,1762.6099021659852
3,1.1,Ideal,G,VS1,61.3,56.0,6.65,6.69,4.09,6278.6579710931555,6273.537523217612
4,2.28,Ideal,G,SI2,61.6,57.0,8.44,8.37,5.18,15433.676068994697,15450.941993632987
5,2.01,Very Good,J,VS2,60.8,58.0,8.08,8.16,4.94,13338.88379235621,13351.027411419298
6,1.06,Ideal,G,SI2,62.2,57.0,6.51,6.49,4.04,5968.31837455412,5962.439066593361
7,0.7,Premium,E,SI1,60.1,58.0,5.81,5.83,3.5,3175.2620057028016,3162.5529569751097
8,0.73,Premium,I,VS2,59.7,59.0,5.94,5.81,3.51,3408.016703107078,3395.8767994432974
9,0.73,Ideal,H,IF,61.6,55.0,5.8,5.82,3.58,3408.016703107078,3395.8767994432974
10,1.0,Good,D,VS2,64.1,58.0,6.24,6.33,4.03,5502.808979745567,5495.791381656985
11,0.33,Ideal,G,VVS2,60.1,57.0,4.48,4.51,2.7,304.6207377167243,284.8922332007969
12,0.54,Ideal,J,VVS2,61.6,57.0,5.25,5.23,3.23,1933.9036195466606,1918.15913047811
13,0.33,Ideal,D,VS2,61.9,53.0,4.49,4.46,2.77,304.6207377167243,284.8922332007969
14,0.51,Fair,D,VS2,64.4,54.0,5.06,5.03,3.25,1701.1489221423835,1684.835288009922
15,0.51,Ideal,E,SI1,62.4,55.0,5.09,5.14,3.19,1701.1489221423835,1684.835288009922
16,0.3,Good,I,SI1,63.2,55.0,4.25,4.29,2.7,71.8660403124477,51.56839073260926
17,2.66,Good,H,SI2,64.3,60.0,8.71,8.65,5.58,18381.902236115537,18406.377331563366
18,0.92,Premium,F,SI1,61.8,59.0,6.21,6.25,3.85,4882.129786667497,4873.594468408485
19,0.3,Ideal,G,IF,62.2,55.0,4.3,4.32,2.68,71.8660403124477,51.56839073260926
20,1.0,Very Good,H,SI1,62.0,54.0,6.43,6.47,4.0,5502.808979745567,5495.791381656985
21,0.34,Very Good,F,VS1,61.1,57.0,4.51,4.54,2.76,382.2056368514832,362.6668473568593
22,1.01,Very Good,F,SI2,62.4,58.0,6.37,6.41,3.99,5580.393878880326,5573.565995813048
23,0.87,Ideal,F,VS1,62.0,55.0,6.1,6.13,3.79,4494.205290993702,4484.721397628173
24,1.26,Premium,D,SI2,61.9,58.0,6.88,6.81,4.24,7520.0163572492975,7517.931349714611
25,0.38,Premium,E,VS1,60.2,58.0,4.66,4.71,2.82,692.5452333905187,673.7653039811094
26,0.55,Ideal,F,VVS2,62.3,54.0,5.29,5.27,3.29,2011.488518681419,1995.9337446341726
27,0.65,Premium,G,SI1,61.9,58.0,5.54,5.51,3.42,2787.3375100290077,2773.6798861947973
28,0.41,Premium,D,VVS2,62.2,58.0,4.8,4.78,2.98,925.2999307947948,907.0891464492965
29,0.7,Very Good,I,I1,63.2,59.0,5.62,5.59,3.54,3175.2620057028016,3162.5529569751097
30,1.03,Very Good,I,VS1,62.9,53.0,6.45,6.5,4.07,5735.563677149844,5729.115224125173
31,0.34,Ideal,F,VVS2,61.3,56.0,4.52,4.56,2.78,382.2056368514832,362.6668473568593
32,0.73,Ideal,I,VVS1,61.7,53.0,5.8,5.84,3.59,3408.016703107078,3395.8767994432974
33,0.83,Ideal,D,SI2,62.1,56.0,6.0,6.04,3.74,4183.8656944546665,4173.622941003922
34,0.51,Very Good,G,SI1,63.0,53.0,5.1,5.13,3.22,1701.1489221423835,1684.835288009922
35,1.06,Ideal,E,VS2,61.3,57.0,6.54,6.57,4.02,5968.31837455412,5962.439066593361
36,0.41,Ideal,D,VS1,61.8,57.0,4.75,4.8,2.95,925.2999307947948,907.0891464492965
37,1.03,Ideal,F,VS2,60.4,56.0,6.59,6.56,3.97,5735.563677149844,5729.115224125173
38,0.32,Ideal,D,SI1,61.3,55.0,4.41,4.46,2.72,227.03583858196544,207.11761904473406
39,0.3,Premium,J,VS1,62.6,58.0,4.32,4.27,2.69,71.8660403124477,51.56839073260926
40,0.32,Very Good,D,VVS2,60.1,58.0,4.41,4.44,2.66,227.03583858196544,207.11761904473406
41,0.33,Ideal,G,VS1,61.7,56.0,4.44,4.47,2.75,304.6207377167243,284.8922332007969
42,0.25,Ideal,G,VS1,62.7,54.0,4.05,4.08,2.55,-316.05845536134643,-337.30468004770273
43,0.3,Ideal,F,VS1,61.0,56.0,4.37,4.35,2.66,71.8660403124477,51.56839073260926
44,1.26,Very Good,F,IF,60.0,60.0,7.04,7.09,4.24,7520.0163572492975,7517.931349714611
45,1.14,Ideal,J,VS1,61.6,56.0,6.71,6.73,4.14,6588.997567632189,6584.63597984186
46,1.51,Premium,H,SI1,62.8,60.0,7.22,7.14,4.51,9459.638835618269,9462.296703616174
47,0.51,Very Good,E,SI2,62.0,57.0,5.09,5.13,3.17,1701.1489221423835,1684.835288009922
