,carat,cut,color,clarity,depth,table,x,y,z,price_predicted,price_predict,carat_log
0,0.91,Very Good,H,SI2,63.4,57.0,6.1,6.18,3.89,3989.445187021826,4795.819854252423,-0.09431067947124129
1,0.38,Good,F,VS2,60.3,61.0,4.68,4.71,2.83,923.4056669432248,673.7653039811094,-0.9675840262617056
2,0.52,Ideal,H,VS2,61.8,56.0,5.19,5.16,3.2,1561.9068580492603,1762.6099021659852,-0.6539264674066639
3,1.1,Ideal,G,VS1,61.3,56.0,6.65,6.69,4.09,5481.609069348721,6273.537523217612,0.09531017980432493
4,2.28,Ideal,G,SI2,61.6,57.0,8.44,8.37,5.18,18592.41578429824,15450.941993632987,0.8241754429663494
5,2.01,Very Good,J,VS2,60.8,58.0,8.08,8.16,4.94,15052.560046322867,13351.027411419298,0.6981347220709843
6,1.06,Ideal,G,SI2,62.2,57.0,6.51,6.49,4.04,5151.710788296554,5962.439066593361,0.058268908123975824
7,0.7,Premium,E,SI1,60.1,58.0,5.81,5.83,3.5,2570.2674977629886,3162.5529569751097,-0.35667494393873245
8,0.73,Premium,I,VS2,59.7,59.0,5.94,5.81,3.51,2757.5128435314978,3395.8767994432974,-0.31471074483970024
9,0.73,Ideal,H,IF,61.6,55.0,5.8,5.82,3.58,2757.5128435314978,3395.8767994432974,-0.31471074483970024
10,1.0,Good,D,VS2,64.1,58.0,6.24,6.33,4.03,4672.470742601347,5495.791381656985,0.0
11,0.33,Ideal,G,VVS2,60.1,57.0,4.48,4.51,2.7,728.9929808348528,284.8922332007969,-1.1086626245216111
12,0.54,Ideal,J,VVS2,61.6,57.0,5.25,5.23,3.23,1663.8740631244978,1918.15913047811,-0.616186139423817
13,0.33,Ideal,D,VS2,61.9,53.0,4.49,4.46,2.77,728.9929808348528,284.8922332007969,-1.1086626245216111
14,0.51,Fair,D,VS2,64.4,54.0,5.06,5.03,3.25,1511.9022891473296,1684.835288009922,-0.6733445532637656
15,0.51,Ideal,E,SI1,62.4,55.0,5.09,5.14,3.19,1511.9022891473296,1684.835288009922,-0.6733445532637656
16,0.3,Good,I,SI1,63.2,55.0,4.25,4.29,2.7,621.3865913129209,51.56839073260926,-1.2039728043259361
17,2.66,Good,H,SI2,64.3,60.0,8.71,8.65,5.58,24072.331122144893,18406.377331563366,0.9783261227936078
18,0.92,Premium,F,SI1,61.8,59.0,6.21,6.25,3.85,4063.180116596073,4873.594468408485,-0.08338160893905101
19,0.3,Ideal,G,IF,62.2,55.0,4.3,4.32,2.68,621.3865913129209,51.56839073260926,-1.2039728043259361
20,1.0,Very Good,H,SI1,62.0,54.0,6.43,6.47,4.0,4672.470742601347,5495.791381656985,0.0
21,0.34,Very Good,F,VS1,61.1,57.0,4.51,4.54,2.76,766.3879710269738,362.6668473568593,-1.0788096613719298
22,1.01,Very Good,F,SI2,62.4,58.0,6.37,6.41,3.99,4751.031285514873,5573.565995813048,0.009950330853168092
23,0.87,Ideal,F,VS1,62.0,55.0,6.1,6.13,3.79,3699.9799652965467,4484.721397628173,-0.13926206733350766
24,1.26,Premium,D,SI2,61.9,58.0,6.88,6.81,4.24,6882.35228214975,7517.931349714611,0.23111172096338664
25,0.38,Premium,E,VS1,60.2,58.0,4.66,4.71,2.82,923.4056669432248,673.7653039811094,-0.9675840262617056
26,0.55,Ideal,F,VVS2,62.3,54.0,5.29,5.27,3.29,1715.8287424954092,1995.9337446341726,-0.5978370007556204
27,0.65,Premium,G,SI1,61.9,58.0,5.54,5.51,3.42,2270.1086706296837,2773.6798861947973,-0.4307829160924542
28,0.41,Premium,D,VVS2,62.2,58.0,4.8,4.78,2.98,1048.7956305905404,907.0891464492965,-0.8915981192837836
29,0.7,Very Good,I,I1,63.2,59.0,5.62,5.59,3.54,2570.2674977629886,3162.5529569751097,-0.35667494393873245
30,1.03,Very Good,I,VS1,62.9,53.0,6.45,6.5,4.07,4909.732711315087,5729.115224125173,0.02955880224154443
31,0.34,Ideal,F,VVS2,61.3,56.0,4.52,4.56,2.78,766.3879710269738,362.6668473568593,-1.0788096613719298
32,0.73,Ideal,I,VVS1,61.7,53.0,5.8,5.84,3.59,2757.5128435314978,3395.8767994432974,-0.31471074483970024
33,0.83,Ideal,D,SI2,62.1,56.0,6.0,6.04,3.74,3419.3711674028964,4173.622941003922,-0.18632957819149348
34,0.51,Very Good,G,SI1,63.0,53.0,5.1,5.13,3.22,1511.9022891473296,1684.835288009922,-0.6733445532637656
35,1.06,Ideal,E,VS2,61.3,57.0,6.54,6.57,4.02,5151.710788296554,5962.439066593361,0.058268908123975824
36,0.41,Ideal,D,VS1,61.8,57.0,4.75,4.8,2.95,1048.7956305905404,907.0891464492965,-0.8915981192837836
37,1.03,Ideal,F,VS2,60.4,56.0,6.59,6.56,3.97,4909.732711315087,5729.115224125173,0.02955880224154443
38,0.32,Ideal,D,SI1,61.3,55.0,4.41,4.46,2.72,692.3559648221893,207.11761904473406,-1.1394342831883648
39,0.3,Premium,J,VS1,62.6,58.0,4.32,4.27,2.69,621.3865913129209,51.56839073260926,-1.2039728043259361
40,0.32,Very Good,D,VVS2,60.1,58.0,4.41,4.44,2.66,692.3559648221893,207.11761904473406,-1.1394342831883648
41,0.33,Ideal,G,VS1,61.7,56.0,4.44,4.47,2.75,728.9929808348528,284.8922332007969,-1.1086626245216111
42,0.25,Ideal,G,VS1,62.7,54.0,4.05,4.08,2.55,457.80269838091414,-337.30468004770273,-1.3862943611198906
43,0.3,Ideal,F,VS1,61.0,56.0,4.37,4.35,2.66,621.3865913129209,51.56839073260926,-1.2039728043259361
44,1.26,Very Good,F,IF,60.0,60.0,7.04,7.09,4.24,6882.35228214975,7517.931349714611,0.23111172096338664
45,1.14,Ideal,J,VS1,61.6,56.0,6.71,6.73,4.14,5819.714793874298,6584.63597984186,0.131028262406404
46,1.51,Premium,H,SI1,62.8,60.0,7.22,7.14,4.51,9320.885344580247,9462.296703616174,0.412109650826833
47,0.51,Very Good,E,SI2,62.0,57.0,5.09,5.13,3.17,1511.9022891473296,1684.835288009922,-0.6733445532637656
48,0.32,Ideal,G,IF,61.0,57.0,4.44,4.48,2.72,692.3559648221893,207.11761904473406,-1.1394342831883648
49,0.94,Premium,E,SI2,60.4,59.0,6.37,6.34,3.84,4212.278713662544,5029.14369672061,-0.06187540371808753
50,0.51,Premium,E,VS2,60.6,58.0,5.15,5.12,3.11,1511.9022891473296,1684.835288009922,-0.6733445532637656
51,1.12,Ideal,H,SI2,61.4,56.0,6.69,6.66,4.1,5649.642015375149,6429.086751529736,0.11332868530700327
52,1.33,Premium,G,SI2,60.3,58.0,7.19,7.16,4.33,7535.0133721138145,8062.3536488070495,0.28517894223366247
53,0.32,Premium,H,VS2,61.7,59.0,4.35,4.4,2.7,692.3559648221893,207.11761904473406,-1.1394342831883648
54,0.7,Ideal,E,VS2,62.6,57.0,5.63,5.68,3.54,2570.2674977629886,3162.5529569751097,-0.35667494393873245
55,1.35,Ideal,H,VVS1,61.9,57.0,7.06,7.09,4.38,7725.846742507485,8217.902877119173,0.30010459245033816
56,0.23,Good,F,VS2,63.8,57.0,3.93,3.84,2.48,398.1051832867656,-492.85390835982844,-1.4696759700589417
57,0.9,Very Good,F,I1,61.9,59.0,6.16,6.18,3.82,3916.2557342213877,4718.04524009636,-0.10536051565782628
58,1.03,Ideal,D,SI1,61.3,56.0,6.48,6.54,3.99,4909.732711315087,5729.115224125173,0.02955880224154443
59,1.02,Good,E,SI2,62.8,64.0,6.36,6.32,3.98,4830.119169181164,5651.340609969111,0.01980262729617973
60,0.55,Ideal,H,VVS2,61.7,57.0,5.28,5.26,3.25,1715.8287424954092,1995.9337446341726,-0.5978370007556204
61,0.34,Ideal,E,IF,61.7,56.0,4.46,4.48,2.76,766.3879710269738,362.6668473568593,-1.0788096613719298
62,0.71,Premium,D,VVS2,60.0,58.0,5.92,5.84,3.53,2632.0923079581053,3240.327571131172,-0.342490308946776
63,0.55,Good,G,SI1,63.6,61.0,5.22,5.16,3.3,1715.8287424954092,1995.9337446341726,-0.5978370007556204
64,0.54,Ideal,G,VS2,61.5,55.0,5.24,5.27,3.23,1663.8740631244978,1918.15913047811,-0.616186139423817
65,1.23,Ideal,H,IF,61.3,57.0,6.87,6.92,4.23,6609.978328705421,7284.607507246423,0.20701416938432612
66,0.27,Premium,E,VVS1,60.6,58.0,4.18,4.2,2.54,520.8184139517327,-181.75545173557794,-1.3093333199837622
67,0.53,Ideal,D,VS2,61.4,56.0,5.18,5.21,3.19,1612.5654587464296,1840.3845163220476,-0.6348782724359695
68,1.25,Ideal,G,SI2,61.1,55.0,6.95,6.99,4.26,6791.068424714163,7440.1567355585485,0.22314355131420976
69,0.34,Ideal,E,VVS2,62.3,57.0,4.48,4.44,2.78,766.3879710269738,362.6668473568593,-1.0788096613719298
70,0.36,Premium,I,VS2,62.7,59.0,4.54,4.58,2.86,843.4229357517228,518.2160756689846,-1.0216512475319814
71,0.34,Ideal,G,SI1,61.2,57.0,4.56,4.53,2.78,766.3879710269738,362.6668473568593,-1.0788096613719298
72,1.12,Good,E,SI1,64.3,57.0,6.56,6.5,4.2,5649.642015375149,6429.086751529736,0.11332868530700327
73,0.3,Ideal,H,VS1,61.6,55.0,4.27,4.3,2.64,621.3865913129209,51.56839073260926,-1.2039728043259361
74,0.36,Ideal,D,SI1,62.0,56.0,4.61,4.55,2.84,843.4229357517228,518.2160756689846,-1.0216512475319814
